"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:58J1l73w3TcdpGqN0n1TiZ","Prayer Of The Refugee","spotify:artist:6Wr3hh341P84m3EI8qdn9O","Rise Against","spotify:album:4bnL97GIgtX6UCybyDzRMJ","The Sufferer & The Witness [International Version (Explicit)]","spotify:artist:6Wr3hh341P84m3EI8qdn9O","Rise Against","2006-06-30","https://i.scdn.co/image/ab67616d0000b273cd97bdaa77ffd89f39b9e458","1","6","195837","https://p.scdn.co/mp3-preview/99f76c5f0b2bd1c90d197cd272b04677d0a6e439?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USUM70603971","spotify:user:75p2140e0alu9ardn51dih4ci","2020-12-24T04:42:31Z"
"spotify:track:26095IcivgfeCsNSDswY71","Nothing For Me Here","spotify:artist:7fWgqc4HJi3pcHhK8hKg2p","Dope","spotify:album:0k6Ew5871sZiRi8px0iEYr","No Regrets","spotify:artist:7fWgqc4HJi3pcHhK8hKg2p","Dope","2009-03-10","https://i.scdn.co/image/ab67616d0000b2732e83ffd9886c05af4a09ee60","1","16","182560","https://p.scdn.co/mp3-preview/bed6a35e82465afe567eeab1211a68ce33f8d942?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USKO10900167","spotify:user:75p2140e0alu9ardn51dih4ci","2020-12-24T04:42:38Z"
"spotify:track:0F2LiyHp9E0pAanpfnzHNp","Cherub Rock - 2011 Remaster","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","spotify:album:2Qs2SpclDToB087fLolhCN","Siamese Dream (2011 - Remaster)","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","1993-07-27","https://i.scdn.co/image/ab67616d0000b273f00d9c29f0eb7691f908f23a","1","1","298253","https://p.scdn.co/mp3-preview/69d7ef5639f25831ad0be8d436054ef0eaa1b31f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USVI21100146","spotify:user:75p2140e0alu9ardn51dih4ci","2020-12-24T04:42:44Z"
"spotify:track:46QazXxQS0B31CnbRCy8CV","Rock You Like a Hurricane - 2011","spotify:artist:27T030eWyCQRmDyuvr1kxY","Scorpions","spotify:album:4vQ96yyyYbaeTQujH3iTtd","Comeblack","spotify:artist:27T030eWyCQRmDyuvr1kxY","Scorpions","2011-11-07","https://i.scdn.co/image/ab67616d0000b2739f2023d391c3bd4acf4d51c6","1","4","255573","https://p.scdn.co/mp3-preview/8beafb6115a9ad167349bb89151e0fda6e7d37df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","DEE861101522","spotify:user:75p2140e0alu9ardn51dih4ci","2020-12-24T04:42:49Z"
"spotify:track:5cTo534XBM6ZB04ibHOARl","Cult of Personality","spotify:artist:6Uhp7WA6sjm5ZL6Xz561de","Living Colour","spotify:album:13KeZbkhJJgR6NT9yjuJfA","Playlist: The Very Best Of Living Colour","spotify:artist:6Uhp7WA6sjm5ZL6Xz561de","Living Colour","2009-04-09","https://i.scdn.co/image/ab67616d0000b273ebf1c1f9d1b7641849987a3a","1","3","294933","https://p.scdn.co/mp3-preview/682df0fd20531188e791506cba35cd3cc2d1bbcd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USSM18800018","spotify:user:75p2140e0alu9ardn51dih4ci","2020-12-24T04:42:55Z"
"spotify:track:7ouMYWpwJ422jRcDASZB7P","Knights of Cydonia","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-28","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","11","366213","https://p.scdn.co/mp3-preview/8196f1d0cb4c14a5a5bd1ab078c6893b30dab102?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBAHT0500600","spotify:user:75p2140e0alu9ardn51dih4ci","2020-12-24T04:42:59Z"
"spotify:track:0uzyN8QWbPGpOQLAXh27El","Holiday In Cambodia","spotify:artist:30U8fYtiNpeA5KH6H87QUV","Dead Kennedys","spotify:album:3ep27mtxMyke8ihg82tRB0","OMFG! That’s Punk","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2009-06-23","https://i.scdn.co/image/ab67616d0000b273f3dc3566b228972ac0a423be","1","1","224866","https://p.scdn.co/mp3-preview/fbc40810df1349a92dc1077e586807d6c8feed56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA560456451","spotify:user:75p2140e0alu9ardn51dih4ci","2020-12-24T04:43:03Z"
"spotify:track:6k6gzf2RjLHawPOvxXimdv","Miss Murder","spotify:artist:19I4tYiChJoxEO5EuviXpz","AFI","spotify:album:1kVYkKpiAQG912Ue2EzT7Z","Guitar Hero III Legends of Rock Companion Pack","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2007-01-01","https://i.scdn.co/image/ab67616d0000b273bcd93b95683ca20bfbe2805a","1","4","205706","https://p.scdn.co/mp3-preview/6dc91d48d35ba17b8e6725d51d3b22590a059757?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM70602578","spotify:user:75p2140e0alu9ardn51dih4ci","2020-12-24T04:43:08Z"
"spotify:track:2QWiLP3WiFMtmJ08nUTWUC","Avalancha","spotify:artist:3qAPxVwIQRBuz5ImPUxpZT","Heroes Del Silencio","spotify:album:3AikSptzlt3YvobRSMqL68","Avalancha","spotify:artist:3qAPxVwIQRBuz5ImPUxpZT","Heroes Del Silencio","1995-11-07","https://i.scdn.co/image/ab67616d0000b273e55be22cd0085496fee07b29","1","5","358133","https://p.scdn.co/mp3-preview/f5af83db5ed4f643cfedcbefa85289c7c1fc181e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ES5089603089","spotify:user:75p2140e0alu9ardn51dih4ci","2020-12-24T04:43:11Z"
"spotify:track:5qm0KiVKMXW1kq6VrnIhz5","Cliffs Of Dover - Instrumental","spotify:artist:4CxobvwTpmfpIEbkYh4pAb","Eric Johnson","spotify:album:4euX7BHHIVZecdn7Ii3eg2","Ah Via Musicom","spotify:artist:4CxobvwTpmfpIEbkYh4pAb","Eric Johnson","1990","https://i.scdn.co/image/ab67616d0000b27351136aeb3f6b077a3f9d9a0f","1","2","249767","https://p.scdn.co/mp3-preview/9841dfc7b3f3e1a530712121e9ae8fa71bb1014a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USCA28900086","spotify:user:75p2140e0alu9ardn51dih4ci","2020-12-24T04:43:23Z"
"spotify:track:1wdd1nH9JwrVc32RUmSySE","Before I Forget","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","spotify:album:3WiKW2EnGNjHzm0dSVbuDj","Vol 3. The Subliminal Verses [Special Edition]","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","2004","https://i.scdn.co/image/ab67616d0000b273137bf0b70ff8b0ed53542c43","1","10","278600","https://p.scdn.co/mp3-preview/0f77f34ecc9516fa50dc8c720c41f2a85c836a98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLA320420824","spotify:user:75p2140e0alu9ardn51dih4ci","2020-12-24T04:43:26Z"
